mainlocation,sublocation,neighborhood,frontage,purpose,streetwidth,size,Price
الرياض,جنوب الرياض,حي المشاعل,3 شوارع,تجاري,30,14570,750
جازان,,حي الروضة,4 شوارع,,20,14840,505
المدينة المنورة,,حي الدفاع,جنوب,تجاري,60,636,1950
عنيزة,,حي الصفا,جنوب شرقي,سكني,30,878,274
الخبر,,حي اللؤلؤ,جنوب,,30,2200,900
جدة,شمال جدة,حي الصوارى,شمال,,35,900,1667
بريدة,,حي الشقة,غرب,سكني,15,439,240
الرياض,غرب الرياض,حي عرقة,شرق,سكني,16,1200,2200
الرياض,شرق الرياض,حي الملز,4 شوارع,سكني أو تجاري,30,4980,4000
بريدة,,حي خب الكيفة,شرق,سكني أو تجاري,30,613,350
الدلم,,حي الشفاء,شمال,سكني أو تجاري,25,546,500
عنيزة,,حي الخالدية,جنوب,سكني,20,575,478
الرياض,شرق الرياض,حي الحمراء,شمال,سكني,20,580,3000
بريدة,,حي العريمضي,شرق,سكني,25,433,440
الرياض,غرب الرياض,حي طويق,جنوب,تجاري,60,900,2200
المدينة المنورة,,حي البلقاء,شمال شرقي,تجاري,100,2500,3500
بريدة,,حي الشقة,غرب,سكني,15,435,240
المدينة المنورة,,حي السكب,شمال,سكني أو تجاري,30,244137,280
الرياض,غرب الرياض,حي ظهرة لبن,جنوب,سكني,20,450,1150
بريدة,,حي النقع الشرقية,شرق,سكني,20,437,430
الرياض,غرب الرياض,حي ضاحية نمار,جنوب,سكني,15,998,501
بريدة,,حي العريمضي,شرق,,25,439,440
جدة,شمال جدة,حي الصالحية,غرب,سكني,16,870,1379
الرياض,جنوب الرياض,حي المصفاة,شمال,تجاري,30,750,480
الرياض,شمال الرياض,حي الندى,شرق,سكني,15,360,3600
الخبر,,حي الروابي,جنوب شرقي,تجاري,60,45000,2200
الرياض,شرق الرياض,حي الحمراء,جنوب,,20,875,3000
الرياض,شرق الرياض,حي قرطبة,جنوب,,15,1128,2659
الرياض,جنوب الرياض,حي الدار البيضاء,شمال شرقي,سكني أو تجاري,36,1050,1690
جدة,شمال جدة,حي الياقوت,شمال,سكني,32,300,2250
الدمام,,حي الخليج,غرب,سكني,20,81,20
الخبر,,حي الصواري,شمال غربي,سكني,15,556,1250
الرياض,غرب الرياض,حي الخزامى,شرق,سكني,10,400,3500
الرياض,شمال الرياض,حي بنبان,شمال,سكني,15,375,695
جدة,شمال جدة,حي الرياض,شرق,سكني أو تجاري,35,899,500
الرياض,شرق الرياض,حي القادسية,شمال,سكني,15,325,2280
الرياض,غرب الرياض,حي الخزامى,3 شوارع,,20,6650,4100
الخبر,,حي اللؤلؤ,شرق,سكني,30,1000,900
الرياض,شمال الرياض,حي حطين,جنوب شرقي,سكني,15,1575,4500
الرياض,شمال الرياض,حي الملقا,3 شوارع,,30,6400,4500
الرياض,شرق الرياض,حي اليرموك,شرق,سكني أو تجاري,20,747,2400
الرياض,غرب الرياض,حي المهدية,جنوب,,35,400,1400
الرياض,شمال الرياض,حي الملقا,شمال غربي,سكني,20,900,3900
الرياض,شمال الرياض,حي الملقا,4 شوارع,تجاري,36,21563,3000
الرياض,شمال الرياض,حي الصحافة,شمال غربي,سكني,15,300,3500
الخبر,,حي المرجان,شمال,تجاري,60,875,1097
الرياض,غرب الرياض,حي عرقة,شمال,سكني,15,490,2250
الرياض,شرق الرياض,حي القادسية,جنوب,سكني,25,402,2300
الرياض,شمال الرياض,حي بنبان,غرب,,15,375,630
الرياض,غرب الرياض,حي عرقة,شمال شرقي,سكني,25,500,3000
الرياض,غرب الرياض,حي عرقة,شمال شرقي,سكني,25,1025,3000
الرياض,شمال الرياض,حي النرجس,شرق,سكني,15,375,3300
الرياض,شمال الرياض,حي الملقا,جنوب شرقي,سكني,18,750,4100
الرياض,شمال الرياض,حي الياسمين,جنوب,سكني أو تجاري,36,750,4200
الرياض,شرق الرياض,حي المونسية,جنوب,سكني,15,300,2450
الرياض,شمال الرياض,حي الندى,شرق,سكني,15,750,3500
الرياض,شمال الرياض,حي النرجس,شمال,تجاري,36,1087,3700
الخبر,,حي العقيق,شرق,سكني,20,500,870
الرياض,غرب الرياض,حي عرقة,غرب,سكني,20,625,3000
بريدة,,حي الرحاب,شمال شرقي,تجاري,40,6128,750
الرياض,شمال الرياض,حي حطين,شرق,سكني,19,700,4000
الخبر,,حي اللؤلؤ,شرق,سكني,30,1000,950
الخبر,,حي التحلية,جنوب غربي,,30,900,1250
الخبر,,حي اللؤلؤ,جنوب,سكني,20,1000,900
الرياض,شرق الرياض,حي السلام,شمال,سكني,20,337,2350
الرياض,شمال الرياض,حي الربيع,شمال غربي,سكني,15,982,3800
الرياض,شمال الرياض,حي الملقا,شرق,سكني,18,437,4300
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,18,750,4100
الخبر,,حي الكوثر,غرب,سكني,40,770,909
الرياض,شمال الرياض,حي النرجس,غرب,سكني,15,312,3000
الرياض,شمال الرياض,حي النرجس,شرق,سكني,15,312,3000
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,15,446,4300
الرياض,شرق الرياض,حي السعادة,شمال غربي,سكني,20,644,1900
الرياض,جنوب الرياض,حي عكاظ,شمال,سكني,20,360,1240
الرياض,غرب الرياض,حي المهدية,4 شوارع,,15,829,844
الرياض,شمال الرياض,حي السليمانية,جنوب,سكني,15,613,3100
الرياض,شمال الرياض,حي بنبان,شرق,سكني,20,750,700
الرياض,غرب الرياض,حي عرقة,جنوب,سكني,16,441,2400
الخبر,,حي التحلية,شمال غربي,سكني,15,790,1500
الرياض,شمال الرياض,حي الملقا,غرب,,20,900,3800
الرياض,شمال الرياض,حي العارض,غرب,سكني,15,1200,2000
الخبر,,حي الرجاء,شرق,,15,345,1014
الرياض,شمال الرياض,حي الندى,شمال,سكني,15,420,3900
الرياض,غرب الرياض,حي عرقة,شرق,سكني,20,525,3100
الرياض,شمال الرياض,حي النرجس,جنوب شرقي,سكني,20,1055,3400
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,20,343,4200
الرياض,شمال الرياض,حي العقيق,شمال شرقي,سكني,20,1030,2912
جدة,شمال جدة,حي الزمرد,غرب,سكني,25,1680,446
الدرعية,,حي الدرعية الجديدة,شرق,سكني أو تجاري,30,600,1750
الدرعية,,حي الخالدية,3 شوارع,سكني,25,3680,3500
الرياض,شمال الرياض,حي العقيق,جنوب غربي,سكني,20,900,3000
الرياض,شمال الرياض,حي الصحافة,جنوب,سكني,15,810,3000
ثول,,حي ثول,شمال,سكني,16,900,255
الرياض,شمال الرياض,حي الياسمين,شمال,سكني,15,918,3000
الرياض,غرب الرياض,حي الخزامى,4 شوارع,سكني,20,7000,3300
الرياض,شمال الرياض,حي الياسمين,3 شوارع,سكني أو تجاري,60,6200,7500
الرياض,شمال الرياض,حي الياسمين,جنوب غربي,سكني,20,1590,3400
الرياض,شمال الرياض,حي النرجس,جنوب,سكني أو تجاري,36,1800,3900
الرياض,شمال الرياض,حي السليمانية,شمال,تجاري,61,720,8000
الرياض,غرب الرياض,حي عرقة,شمال شرقي,سكني,15,616,3000
الرياض,شرق الرياض,حي الرمال,3 شوارع,سكني,15,312,2100
الرياض,شرق الرياض,حي المونسية,شرق,سكني,18,300,2450
جازان,,حي الروابي,شرق,,20,1051,285
الخرج,,حي مشرف,جنوب,سكني,25,780,359
الرياض,شمال الرياض,حي العليا,شمال,سكني,10,400,3000
الدمام,,حي السيف,شرق,سكني,20,600,1500
الرياض,شمال الرياض,حي العقيق,شرق,سكني,15,450,3500
الرياض,شرق الرياض,حي الروضة,جنوب غربي,سكني,15,900,2200
الرياض,شمال الرياض,حي حطين,شرق,سكني,15,875,3400
الرياض,شرق الرياض,حي المونسية,4 شوارع,سكني,15,4516,2350
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,28,700,4500
الرياض,شمال الرياض,حي النرجس,شمال غربي,,15,900,3000
الرياض,شمال الرياض,حي الفلاح,جنوب,سكني,15,1600,3500
الرياض,شمال الرياض,حي الياسمين,جنوب غربي,تجاري,35,1800,4400
الرياض,غرب الرياض,حي عرقة,جنوب,سكني,15,800,3000
الرياض,شرق الرياض,حي قرطبة,شمال,سكني,15,720,3000
الرياض,شمال الرياض,حي الملقا,غرب,سكني,28,1904,4000
الرياض,شمال الرياض,حي الملقا,جنوب غربي,سكني,30,500,4000
الخبر,,حي اللؤلؤ,غرب,سكني,20,1000,780
الرياض,شمال الرياض,حي بنبان,جنوب,,20,850,900
الرياض,شمال الرياض,حي النخيل,غرب,سكني,15,1350,4500
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,15,903,3900
الرياض,شمال الرياض,حي بنبان,3 شوارع,سكني أو تجاري,60,7620,3200
الرياض,شمال الرياض,حي حطين,جنوب,سكني,15,837,4000
الرياض,غرب الرياض,حي الخزامى,شمال,تجاري,36,1020,4000
الرياض,شمال الرياض,حي حطين,شرق,سكني,25,1350,3500
الرياض,شمال الرياض,حي الوادي,شمال,سكني,15,325,2850
الرياض,شمال الرياض,حي الملقا,جنوب غربي,سكني,20,875,4000
الرياض,شمال الرياض,حي النرجس,شمال,سكني,15,500,2900
الرس,,حي الحزم,شمال,سكني,25,840,535
الرياض,جنوب الرياض,حي الدار البيضاء,شرق,سكني أو تجاري,40,2501,1300
جدة,شمال جدة,حي الشراع,شمال,سكني,15,380,2368
الرياض,شمال الرياض,حي الملك عبدالله,3 شوارع,تجاري,85,6100,4000
الرياض,شمال الرياض,حي بنبان,جنوب,,15,750,750
الرياض,شمال الرياض,حي الوادي,شمال غربي,سكني,15,350,3714
الرياض,غرب الرياض,حي ظهرة نمار,غرب,سكني,20,1800,1500
الرس,,حي الحزم,غرب,سكني,15,412,716
الرياض,جنوب الرياض,حي المروة,جنوب شرقي,سكني أو تجاري,36,1017,1200
الرياض,شمال الرياض,حي الملقا,شمال,سكني,40,658,3500
الرياض,جنوب الرياض,حي عكاظ,غرب,تجاري,30,1105,1000
الخبر,,حي الحمرا,غرب,سكني,40,791,2000
الخبر,,حي الحزام الذهبي,شمال,سكني,15,600,3200
الرياض,شرق الرياض,حي قرطبة,جنوب,سكني أو تجاري,30,810,3200
جدة,جنوب جدة,حي الغليل,شمال غربي,,30,2700,3750
الرياض,غرب الرياض,حي المهدية,شمال,سكني,20,600,1166
الرياض,شمال الرياض,حي العقيق,3 شوارع,سكني,20,9000,4000
جدة,شمال جدة,حي الزمرد,غرب,سكني,16,450,1166
الرياض,شمال الرياض,حي الياسمين,3 شوارع,سكني أو تجاري,60,2135,8000
الخبر,,حي اللؤلؤ,شرق,سكني,40,803,709
الرياض,شمال الرياض,حي الرحمانية,3 شوارع,سكني,20,2100,4400
الخبر,,حي المرجان,شمال شرقي,سكني,20,1082,554
الرياض,شرق الرياض,حي القادسية,جنوب شرقي,سكني,20,665,2100
الرياض,شمال الرياض,حي الملقا,شرق,سكني,15,350,4300
الرياض,شرق الرياض,حي المونسية,شمال,سكني,15,535,2700
الرياض,شرق الرياض,حي المونسية,جنوب شرقي,,15,288,2700
الرياض,غرب الرياض,حي عرقة,شرق,سكني,15,300,3300
الدرعية,,حي الدرعية الجديدة,جنوب شرقي,سكني,15,3000,400
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,25,825,4500
الرياض,شمال الرياض,حي النخيل,غرب,سكني,12,300,4400
الرياض,شرق الرياض,حي الروضة,جنوب,سكني,15,412,2400
الرياض,شرق الرياض,حي اليرموك,غرب,تجاري,60,807,3500
الرياض,شمال الرياض,حي النخيل,غرب,سكني,12,276,4500
الرياض,شرق الرياض,حي المونسية,غرب,سكني,15,401,1550
الرياض,شمال الرياض,حي النرجس,شرق,سكني,20,500,3500
الرياض,شمال الرياض,حي الياسمين,شمال,سكني,15,675,3500
الرياض,شمال الرياض,حي حطين,شمال غربي,تجاري,40,900,4500
الرياض,شمال الرياض,حي النرجس,شمال شرقي,,20,1050,3000
جدة,شمال جدة,حي الشراع,جنوب,سكني,16,600,2166
الرياض,شرق الرياض,حي الرمال,شمال,سكني,20,448,1550
الرياض,شمال الرياض,حي حطين,شمال,سكني,30,700,4900
الرياض,جنوب الرياض,حي عريض,شرق,سكني,20,1000,700
الرياض,شرق الرياض,حي الشرق,غرب,سكني,15,750,280
الرياض,شمال الرياض,حي الملقا,جنوب شرقي,سكني,20,1200,3500
الرياض,شرق الرياض,حي القادسية,شرق,سكني,15,500,2000
الرياض,غرب الرياض,حي المهدية,غرب,سكني,25,424,1415
الرياض,شمال الرياض,حي الياسمين,غرب,سكني,15,375,3500
الرياض,شمال الرياض,حي الملقا,شمال,سكني,20,450,4000
الدمام,,حي الجامعيين,3 شوارع,سكني,30,1951,1500
الرياض,شرق الرياض,حي الجنادرية,4 شوارع,سكني أو تجاري,100,20884,1680
الرياض,شمال الرياض,حي الملقا,شمال غربي,سكني,15,726,4000
الرياض,شرق الرياض,حي اليرموك,جنوب غربي,سكني,20,884,2500
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,18,810,4000
الرياض,شمال الرياض,حي المحمدية,شرق,,25,600,4900
الرياض,شرق الرياض,حي الحمراء,جنوب غربي,سكني,20,1282,3900
الرياض,شمال الرياض,حي الوادي,شرق,سكني,15,300,3200
الرياض,شمال الرياض,حي النرجس,جنوب غربي,سكني,15,1119,3500
الرياض,شمال الرياض,حي النرجس,جنوب غربي,سكني,15,1120,3500
الرياض,شمال الرياض,حي الياسمين,جنوب شرقي,سكني,20,1456,4000
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,15,875,4000
الرياض,شمال الرياض,حي القيروان,شمال,سكني,30,1535,3000
الرياض,غرب الرياض,حي ضاحية نمار,جنوب,سكني,20,750,933
الرياض,شرق الرياض,حي اليرموك,شرق,تجاري,30,900,2600
الرياض,شمال الرياض,حي الياسمين,شمال,سكني,15,918,3200
الرياض,شمال الرياض,حي العقيق,شرق,سكني,20,637,3300
الدرعية,,حي الخالدية,4 شوارع,,20,14250,3000
الرياض,شمال الرياض,حي النخيل,شرق,سكني,20,1125,3000
الرياض,شمال الرياض,حي النرجس,3 شوارع,سكني,15,380,3000
الرياض,شمال الرياض,حي حطين,3 شوارع,سكني,20,8050,3300
الرياض,شمال الرياض,حي العارض,جنوب شرقي,سكني,18,1263,2600
الرياض,شمال الرياض,حي المروج,شرق,سكني,15,690,3000
الرياض,شرق الرياض,حي الرمال,شمال,سكني,20,360,1700
الخبر,,حي التحلية,جنوب غربي,سكني,20,600,1450
الخبر,,حي التحلية,شرق,سكني,15,357,1540
الرياض,شرق الرياض,حي قرطبة,شرق,سكني,38,800,3750
مكة المكرمة,,حي الملك فهد,غرب,سكني أو تجاري,36,620,1129
المدينة المنورة,,حي السكب,جنوب,سكني,25,800,800
الخبر,,حي الامواج,جنوب,سكني,20,815,797
الرياض,غرب الرياض,حي طويق,شرق,سكني,20,750,1500
ثول,,حي ثول,جنوب,سكني,16,900,177
الرياض,شرق الرياض,حي غرناطة,غرب,سكني,10,900,1850
الخبر,,حي الامواج,غرب,سكني,60,823,1100
الرياض,شمال الرياض,حي العقيق,جنوب غربي,تجاري,30,500,3800
الرياض,شمال الرياض,حي حطين,شرق,سكني,15,875,3600
الرياض,غرب الرياض,حي عرقة,جنوب,سكني,12,800,2200
الرياض,شمال الرياض,حي الملقا,شرق,سكني,15,1489,3800
الرياض,شمال الرياض,حي العقيق,شرق,سكني,20,637,3150
بريدة,,حي الحمر,شمال شرقي,سكني,15,540,620
الرياض,شرق الرياض,حي قرطبة,جنوب شرقي,سكني,15,720,3000
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,15,343,4200
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,28,6400,4200
الرياض,شمال الرياض,حي حطين,شرق,سكني,15,469,3800
الرياض,شرق الرياض,حي الحمراء,غرب,سكني,25,1237,3100
الرياض,شرق الرياض,حي قرطبة,جنوب,سكني,15,495,2800
الرياض,شرق الرياض,حي الروضة,جنوب غربي,سكني,15,900,2222
الرياض,شمال الرياض,حي بنبان,جنوب,سكني,15,760,698
الخبر,,حي العقيق,شرق,سكني,16,720,791
الرياض,شرق الرياض,حي المونسية,شمال,سكني,15,362,2350
الرياض,شمال الرياض,حي الصحافة,3 شوارع,تجاري,60,5040,9000
بريدة,,حي مخطط الرواف,جنوب,سكني أو تجاري,40,792,1650
الخرج,,حي مشرف,جنوب,,35,661,340
الرياض,شمال الرياض,حي الملقا,شرق,سكني,15,675,3500
الرياض,شمال الرياض,حي النرجس,شرق,سكني,15,444,2400
الرياض,غرب الرياض,حي ظهرة لبن,شرق,,40,900,1100
الرياض,شرق الرياض,حي الشرق,غرب,سكني,15,810,308
الرياض,شمال الرياض,حي العليا,غرب,سكني,10,375,3200
الرياض,شرق الرياض,حي قرطبة,جنوب غربي,سكني,15,1375,3200
الرياض,شرق الرياض,حي اليرموك,شمال غربي,سكني,15,687,2700
الرياض,شمال الرياض,حي النرجس,4 شوارع,تجاري,36,3900,3000
جازان,,حي السويس,غرب,تجاري,30,640,1093
جدة,شمال جدة,حي الشراع,شمال شرقي,سكني,20,500,2300
بريدة,,حي الاخضر,جنوب,,15,2314,2000
الرياض,شرق الرياض,حي قرطبة,4 شوارع,سكني أو تجاري,100,5155,3000
الرياض,جنوب الرياض,حي السلي,3 شوارع,تجاري,60,2731,1100
جدة,شمال جدة,حي الشراع,غرب,سكني,25,900,2222
الرياض,شمال الرياض,حي الملقا,غرب,سكني,18,951,3750
الخبر,,حي التحلية,شمال شرقي,سكني,40,2125,1300
الرياض,شرق الرياض,حي المونسية,جنوب,سكني,15,800,2550
الخبر,,حي اللؤلؤ,شمال,سكني,40,1000,800
رابغ,,حي الصليب الشرقي,جنوب,سكني,15,736,169
الرياض,شرق الرياض,حي قرطبة,جنوب,سكني,15,720,2500
الرياض,شمال الرياض,حي النرجس,شرق,سكني أو تجاري,15,525,3150
الرياض,شمال الرياض,حي النرجس,شرق,سكني,15,450,3300
الرياض,جنوب الرياض,حي السلي,شرق,سكني أو تجاري,5,780,1550
الرياض,شمال الرياض,حي الملقا,شمال,سكني,20,1015,4000
الرياض,شمال الرياض,حي بنبان,جنوب شرقي,سكني,20,9702,600
الرياض,شمال الرياض,حي الصحافة,جنوب,سكني,20,810,3000
الرياض,شمال الرياض,حي الملقا,3 شوارع,سكني,25,6600,3500
جدة,شمال جدة,حي الياقوت,جنوب,سكني,16,312,1602
الرياض,شمال الرياض,حي بنبان,شمال,,20,733,700
الرياض,شمال الرياض,حي الملقا,غرب,,15,525,4200
الرياض,شمال الرياض,حي حطين,شرق,سكني,35,5000,4300
الخبر,,حي البحيرة,جنوب شرقي,سكني,16,833,1300
الرياض,شمال الرياض,حي العارض,3 شوارع,سكني أو تجاري,30,3000,2400
الرياض,شمال الرياض,حي العارض,شمال,سكني,15,558,2450
الرياض,غرب الرياض,حي المهدية,شمال,سكني,25,439,1207
الرياض,شرق الرياض,حي المونسية,شمال,سكني,15,300,2400
الخبر,,حي الامواج,شمال غربي,سكني,60,120000,350
جدة,شمال جدة,حي الفردوس,شمال,تجاري,30,400,4000
الرياض,شمال الرياض,حي بنبان,شمال,سكني,20,744,585
جدة,شمال جدة,حي الزمرد,شرق,سكني,16,900,655
الرياض,شرق الرياض,حي الحمراء,شرق,,36,1128,4000
الرياض,شمال الرياض,حي النرجس,شمال,سكني,15,900,2950
الرياض,غرب الرياض,حي المهدية,شمال غربي,سكني,15,418,1555
الرياض,غرب الرياض,حي ظهرة لبن,شرق,سكني أو تجاري,40,852,1800
الدرعية,,حي الخالدية,شمال,سكني,18,750,3400
الرياض,شرق الرياض,حي الازدهار,شمال غربي,سكني,20,690,3500
الرياض,غرب الرياض,حي عرقة,شمال,سكني,20,1200,2800
الرياض,غرب الرياض,حي ضاحية نمار,غرب,,20,800,1000
الرياض,شرق الرياض,حي الاندلس,جنوب,سكني أو تجاري,30,750,3066
الرياض,شرق الرياض,حي الحمراء,جنوب,سكني,25,1155,4000
الرياض,شمال الرياض,حي المروج,جنوب شرقي,تجاري,30,900,4500
الرياض,غرب الرياض,حي المهدية,غرب,سكني,20,900,1000
الرياض,غرب الرياض,حي عرقة,شمال شرقي,سكني,25,525,2850
الرياض,شمال الرياض,حي الملقا,شمال شرقي,,15,400,4400
الرياض,غرب الرياض,حي المهدية,شمال غربي,سكني,20,900,1300
الرياض,شمال الرياض,حي الملقا,شمال غربي,سكني,18,951,4000
الرياض,شمال الرياض,حي بنبان,شمال,,20,375,800
الرياض,غرب الرياض,حي عرقة,شمال,تجاري,30,600,3200
الرياض,غرب الرياض,حي عرقة,غرب,سكني,12,416,2300
الرياض,شرق الرياض,حي الشهداء,شمال شرقي,تجاري,36,900,5000
الرياض,غرب الرياض,حي ظهرة لبن,غرب,تجاري,30,750,1750
الرياض,شمال الرياض,حي الياسمين,جنوب,تجاري,36,750,4250
الرياض,شمال الرياض,حي الياسمين,جنوب,تجاري,37,750,4250
الرياض,غرب الرياض,حي الخزامى,شمال,,30,1020,4000
الرياض,شمال الرياض,حي المرسلات,جنوب غربي,سكني,20,1768,3000
الخبر,,حي اللؤلؤ,شرق,سكني,19,600,850
الرياض,شمال الرياض,حي النرجس,شمال غربي,سكني,20,540,3500
الرياض,غرب الرياض,حي ظهرة لبن,شمال,تجاري,60,900,1889
الرياض,غرب الرياض,حي عرقة,غرب,سكني,30,625,3200
الرياض,غرب الرياض,حي عرقة,شمال,سكني,20,2300,3700
الرياض,شمال الرياض,حي الملقا,شمال,سكني,18,375,4100
الرياض,شمال الرياض,حي الوادي,شمال غربي,سكني,15,608,3200
الدمام,,حي المنار,شمال,سكني,25,750,1600
الرياض,شمال الرياض,حي النرجس,شمال شرقي,سكني,15,1050,3000
المدينة المنورة,,حي السكة الحديدية,شمال,سكني,14,566,971
الرياض,شمال الرياض,حي النرجس,شمال,سكني,15,800,2800
الرياض,شمال الرياض,حي الملقا,شرق,سكني,25,1620,3800
الرياض,شمال الرياض,حي بنبان,3 شوارع,سكني,20,1606,622
جازان,,حي القلعة,شرق,سكني,30,5000,11000
الرياض,شمال الرياض,حي حطين,شمال شرقي,سكني,15,4483,4000
الرياض,شمال الرياض,حي النرجس,غرب,سكني,20,1350,3100
مكة المكرمة,,حي العوالي,شمال,سكني,12,500,200
الرياض,شمال الرياض,حي النرجس,جنوب,سكني,15,875,3000
الرياض,غرب الرياض,حي الرائد,شرق,سكني,20,1400,4000
الرياض,شمال الرياض,حي النرجس,جنوب غربي,تجاري,30,900,4000
الرياض,شمال الرياض,حي الياسمين,شمال,سكني,15,918,3400
الرياض,شمال الرياض,حي بنبان,شرق,سكني,15,324,772
جدة,شمال جدة,حي ام حبلين,غرب,سكني,5,630,2381
الخبر,,حي الجسر,غرب,سكني,15,583,1350
الرياض,شمال الرياض,حي النرجس,غرب,سكني,20,1350,3150
الرياض,شرق الرياض,حي اليرموك,شرق,سكني,15,350,2400
الرياض,غرب الرياض,حي عرقة,3 شوارع,سكني,15,5400,2800
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,15,765,4200
الرياض,شمال الرياض,حي حطين,شرق,سكني,15,437,3750
الرياض,شرق الرياض,حي الروضة,جنوب غربي,سكني,20,625,2880
مكة المكرمة,,حي الخضراء,غرب,,24,750,2858
الرياض,شمال الرياض,حي المرسلات,شرق,سكني,20,550,3000
الرياض,شمال الرياض,حي الصحافة,جنوب,سكني,14,7000,3200
الرياض,شمال الرياض,حي النرجس,غرب,سكني,15,909,3000
الرياض,شمال الرياض,حي الملقا,شمال,سكني,15,750,4200
الرياض,شمال الرياض,حي النرجس,4 شوارع,,36,3900,2800
الخبر,,حي العقيق,شمال شرقي,سكني,20,380,973
الرياض,شرق الرياض,حي قرطبة,جنوب,سكني أو تجاري,60,5280,3000
الرياض,شمال الرياض,حي حطين,جنوب,سكني,15,384,4100
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,20,900,3700
الرياض,غرب الرياض,حي عرقة,شمال,سكني,20,1200,2750
الرياض,جنوب الرياض,حي عريض,جنوب,سكني,15,207,652
الرياض,غرب الرياض,حي عرقة,جنوب,سكني,12,800,2100
الرياض,شمال الرياض,حي بنبان,جنوب,سكني,20,750,800
المدينة المنورة,,حي العزيزية,شرق,تجاري,100,750,1200
الرياض,شرق الرياض,حي الرمال,3 شوارع,سكني,20,312,2100
الرياض,شرق الرياض,حي النسيم الغربي,شمال,سكني,10,360,1400
الرياض,شمال الرياض,حي العقيق,جنوب,سكني,20,3000,3500
